url,domain,title,language_detected,kurdish_dialect_group,status_code,source,category,notes,checked_at
https://24.krd,24.krd,Kurdistan24 - کوردستان 24,CKB (Central Kurdish / Sorani),CKB (Sorani),200,common_crawl,General,,2026-02-12 15:05:29
https://8th.cabinet.gov.krd,8th.cabinet.gov.krd,حکومەتی هەرێمی كوردستان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:27
https://964.krd,964.krd,+964,CKB (Central Kurdish / Sorani),CKB (Sorani),200,common_crawl,General,,2026-02-12 15:05:29
https://analog.krd,analog.krd,Analog Technology Agency,CKB (Central Kurdish / Sorani),CKB (Sorani),200,common_crawl,General,,2026-02-12 15:05:30
https://araratpti.edu.krd,araratpti.edu.krd,پەیمانگەها ئاڕاڕات,CKB (Central Kurdish / Sorani) / Arabic,CKB (Sorani),200,common_crawl,Education,,2026-02-12 15:05:30
https://archive.gorran.net,archive.gorran.net,GORRAN.NET ||,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,Political,,2026-02-12 15:05:30
https://ashti.krd,ashti.krd,رێکخراوی ئاشتی، بۆ مافەکانی مرۆڤ رێکخراوی ئاشتی، بۆ مافەکانی مرۆڤ - مافەکانی مرۆڤ سەرەکیترین مافەکانی ھەر مرۆڤێک کە تەنھا بە ھۆی مرۆڤ بوونەوە پێی دەبەخشرێت,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,General,,2026-02-12 15:15:21
https://auas.edu.krd,auas.edu.krd,زانکۆیا ئاکرێ بۆ زانستێن کرداری - AUAS,CKB (Central Kurdish / Sorani),CKB (Sorani),200,common_crawl,Education,,2026-02-12 15:05:30
https://aynda.edu.krd,aynda.edu.krd,پەیمانگای ئایندە,CKB (Central Kurdish / Sorani),CKB (Sorani),200,common_crawl,Education,,2026-02-12 15:05:30
https://cc.cihanuniversity.edu.iq,cc.cihanuniversity.edu.iq,زانكۆی جیهان-سه‌نته‌ری رۆشنبیری جیهان – زانكۆی جیهان-سه‌نته‌ری رۆشنبیری جیهان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,Education,,2026-02-12 15:15:40
https://ckb.wikibooks.org,ckb.wikibooks.org,دەستپێک - Wb/ckb - Wikimedia Incubator,English / CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:27
https://ckb.wikinews.org,ckb.wikinews.org,دەستپێک - Wn/ckb - Wikimedia Incubator,CKB (Central Kurdish / Sorani) / English,CKB (Sorani),200,discovered,General,,2026-02-12 14:58:27
https://ckb.wikipedia.org/,ckb.wikipedia.org,ویکیپیدیا، ئینسایکڵۆپیدیای ئازاد,CKB (Central Kurdish / Sorani),CKB (Sorani),200,cultural,Culture & Reference,Wikipedia Sorani Kurdish,2026-02-12T14:53:16Z
https://ckb.wikiquote.org,ckb.wikiquote.org,دەستپێک - Wq/ckb - Wikimedia Incubator,CKB (Central Kurdish / Sorani) / English,CKB (Sorani),200,discovered,General,,2026-02-12 14:58:27
https://ckb.wikivoyage.org,ckb.wikivoyage.org,دەستپێک - Wy/ckb - Wikimedia Incubator,English / CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:27
https://ckb.wiktionary.org/,ckb.wiktionary.org,ویکیفەرھەنگ,CKB (Central Kurdish / Sorani),CKB (Sorani),200,cultural,Culture & Reference,Wiktionary Sorani Kurdish,2026-02-12T14:53:16Z
https://class.koyauniversity.org,class.koyauniversity.org,Koya University,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,Education,,2026-02-12 15:05:41
https://devs.krd,devs.krd,گەشەپێدەرانی کورد | زانستی کۆمپیوتەر بە کوردی و بە پوختی,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,SSL warning,2026-02-12 14:58:27
https://duhoktv.net,duhoktv.net,DUHOK TV | مالپەرێ فەرمی یێ كەنالێ دهوك,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,TV & Radio,,2026-02-12 15:05:49
https://ebazar.net/,ebazar.net,Online Shopping in Iraq and Kurdistan,English / CKB (Central Kurdish / Sorani),CKB (Sorani),200,ecommerce,E-Commerce,eBazar marketplace,2026-02-12T14:53:21Z
https://gksat.tv/,gksat.tv,GK Sat : کەناڵی ئاسمانی گەلی کوردستان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,tv_channels,TV & Radio,GK Sat TV,2026-02-12T14:53:04Z
https://gorran.net/,gorran.net,Gorran,CKB (Central Kurdish / Sorani),CKB (Sorani),200,political_parties,Political,Gorran Movement,2026-02-12T14:53:09Z
https://gov.krd/,gov.krd,حکومەتی هەرێمی كوردستان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,government,Government,KRG official portal,2026-02-12T14:53:07Z
https://hajj.digital.gov.krd,hajj.digital.gov.krd,دەروازەی حەج,CKB (Central Kurdish / Sorani),CKB (Sorani),200,crawl,Government,,2026-02-12 15:16:06
https://hawar.net,hawar.net,پەڕەی سەرەکی - هەوار - Hawar,KMR (Northern Kurdish / Kurmanji) / CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:35
https://hawlati.co/,hawlati.co,هاوڵاتی - سەرەکی,CKB (Central Kurdish / Sorani),CKB (Sorani),200,known_media,News & Media,Hawlati newspaper,2026-02-12T14:52:50Z
https://hawpshti.com/,hawpshti.com,index - Hawpshti,CKB (Central Kurdish / Sorani),CKB (Sorani),200,blogs,Blogs & Forums,Hawpshti,2026-02-12T14:53:32Z
https://kirkuknow.com/,kirkuknow.com,كه‌ركوك ناو,CKB (Central Kurdish / Sorani),CKB (Sorani),200,known_media,News & Media,Kirkuk-focused news,2026-02-12T14:52:50Z
https://kirkukpost.net,kirkukpost.net,Kirkuk Post – Media Network,CKB (Central Kurdish / Sorani) / Arabic,CKB (Sorani),200,variation,General,,2026-02-12 15:06:03
https://komala.com,komala.com,دەستپێک - Komala Party of Iranian Kurdistan,CKB (Central Kurdish / Sorani),CKB (Sorani),200,variation,Political,,2026-02-12 15:16:17
https://komala.org/,komala.org,پێگەی فەرمی حیزبی کۆمەڵە,CKB (Central Kurdish / Sorani),CKB (Sorani),200,political_parties,Political,Komala Party,2026-02-12T14:53:10Z
https://koyauniversity.org/,koyauniversity.org,Home | Koya University,CKB (Central Kurdish / Sorani) / English,CKB (Sorani),200,universities,Education,Koya University,2026-02-12T14:53:15Z
https://krso.gov.krd/,krso.gov.krd,ده‌سته‌ى ئامارى هه‌رێمى كوردستان,CKB (Central Kurdish / Sorani),CKB (Sorani),200,government,Government,Kurdistan Region Statistics Office,2026-02-12T14:53:08Z
https://kurd24.net,kurd24.net,Kurd24,CKB (Central Kurdish / Sorani),CKB (Sorani),200,discovered,General,,2026-02-12 14:58:36
https://kurdch.tv,kurdch.tv,Kurdch,CKB (Central Kurdish / Sorani) / English,CKB (Sorani),200,discovered,General,,2026-02-12 14:58:36
